client_id,name,email,age,subscription,last_active,churn
C5302,Lúcia Souza,lucia87@gmail.com,74,free,2025-02-10,1
C5303,Lúcia da Silva,lucia76@gmail.com,60,premium,2025-08-31,0
C5304,Eduardo Silva,eduardo46@gmail.com,45,basic,2025-10-28,0
C5305,Carlos Silva,carlos64@gmail.com,57,free,2025-11-18,1
C5306,Fernanda Souza,fernanda26@gmail.com,77,free,2025-11-22,0
C5307,Daniela,daniela72@gmail.com,24,basic,2025-10-30,0
C5308,Lúcia Silva,lucia@example,40,,2025-05-17,0
C5309,Eduardo Silva,eduardo97@gmail.com,38,free,2025-10-07,0
C5310,Guilherme,guilherme68@gmail.com,51,,,1
C5311,Marina Souza,marina37@gmail.com,28,premium,2025-04-13,0
C5312,Daniela Souza,daniela36@gmail.com,39,free,2025-10-08,0
C5313,Marina Silva,marina32@gmail.com,59,free,2025-11-05,0
C5314,Bruno Silva,bruno52@gmail.com,52,free,2025-09-20,0
C5315,Márcio,marcio18@gmail.com,69,premium,2025-04-24,1
C5316,Bruno,bruno28@gmail.com,46,free,2025-07-01,0
C5317,Ana Neto,ana45@gmail.com,59,free,2025-11-18,1
C5318,Eduardo Neto,eduardo52@gmail.com,45,basic,2025-08-10,1
C5319,Daniela,daniela75@gmail.com,76,premium,2025-09-09,0
C5320,Marina da Silva,marina8@gmail.com,35,FREE,2025-04-24,0
C5321,Daniela Neto,daniela13@gmail.com,31,basic,2025-11-13,0
C5322,Fernanda,fernanda46@gmail.com,35,basic,2025-09-17,0
C5323,Eduardo,eduardo88@gmail.com,45,basic,2025-05-18,1
C5324,Guilherme,guilherme61@gmail.com,41,premium,2025-10-08,0
C5325,Ana Souza,ana81@gmail.com,25,free,2025-09-26,0
C5326,Daniela da Silva,daniela3@gmail.com,59,premium,2025-11-18,1
C5327,Bruno da Silva,bruno66@gmail.com,71,premium,2025-10-26,0
C5328,Fernanda da Silva,fernanda15@gmail.com,62,basic,2025-10-20,0
C5329,Lúcia Souza,lucia44@gmail.com,70,premium,2025-03-08,0
C5330,Fernanda,fernanda88@gmail.com,25,basic,2025-10-26,0
C5331,Marina da Silva,marina39@gmail.com,21,free,2025-09-30,0
C5332,Daniela,daniela35@gmail.com,44,premium,2025-08-16,0
C5333,Carlos,carlos48@gmail.com,53,basic,2025-11-09,1
C5334,Ana Silva,ana66@gmail.com,22,basic,2025-09-26,1
C5335,Eduardo,eduardo20@gmail.com,50,free,2025-07-27,0
C5336,Carlos Silva,carlos7@gmail.com,66,,2025-05-27,1
C5337,Fernanda da Silva,fernanda71@gmail.com,51,basic,2025-08-28,1
C5338,Ana Neto,,47,free,2025-08-17,0
C5339,Bruno,bruno2@gmail.com,25,basic,2025-11-12,0
C5340,Bruno Neto,bruno2@gmail.com,56,premium,2025-03-07,1
C5341,Márcio,marcio36@gmail.com,64,premium,2025-11-12,1
C5342,Carlos Silva,carlos@example,43,basic,2025-07-13,1
C5343,Bruno,bruno49@gmail.com,74,,2025-10-28,0
C5344,Guilherme Souza,guilherme30@gmail.com,54,free,2025-03-25,1
C5345,Carlos Souza,carlos78@gmail.com,51,basic,2025-08-02,0
C5346,Daniela,daniela@example,24,,2025-07-21,0
C5347,Lúcia Souza,lucia@example,57,,,0
C5348,Márcio Neto,marcio10@gmail.com,45,premium,2025-10-03,1
C5349,Lúcia Silva,lucia5@gmail.com,56,,2025-08-30,0
C5350,Marina,,79,free,2025-07-15,0
C5351,Eduardo Souza,eduardo66@gmail.com,56,,2025-11-15,0
C5352,Guilherme Silva,guilherme23@gmail.com,45,free,2025-02-02,0
C5353,Marina Neto,,31,free,2025-05-10,0
C5354,Guilherme Neto,guilherme23@gmail.com,70,free,2025-10-27,1
C5355,Ana,ana57@gmail.com,67,basic,2025-06-22,1
C5356,Carlos,carlos30@gmail.com,55,free,2025-09-20,0
C5357,Ana,ana@example,21,free,2025-09-30,1
C5358,Ana,,59,free,2025-10-22,0
C5359,Bruno,bruno48@gmail.com,35,free,2025-09-07,1
C5360,Ana,ana76@gmail.com,61,basic,2025-07-30,0
C5361,Fernanda,fernanda82@gmail.com,65,basic,2025-10-08,0
C5362,Carlos,,42,free,2025-08-27,0
C5363,Bruno Neto,bruno72@gmail.com,24,premium,2025-08-08,0
C5364,Carlos Silva,carlos16@gmail.com,55,,2025-08-05,0
C5365,Eduardo da Silva,eduardo34@gmail.com,45,premium,2025-11-20,0
C5366,Lúcia Silva,lucia53@gmail.com,22,free,,0
C5367,Lúcia,lucia77@gmail.com,20,premium,2025-09-30,0
C5368,Fernanda Silva,fernanda24@gmail.com,61,free,2025-10-28,1
C5369,Marina Silva,marina52@gmail.com,48,free,,0
C5370,Lúcia da Silva,lucia87@gmail.com,64,free,2025-09-26,0
C5371,Marina Silva,marina13@gmail.com,59,premium,2025-05-12,1
C5372,Daniela Silva,,75,free,2025-10-13,1
C5373,Ana da Silva,ana81@gmail.com,37,free,2025-07-23,1
C5374,Marina Souza,marina39@gmail.com,36,free,2025-11-15,1
C5375,Bruno,bruno77@gmail.com,65,,2025-09-27,0
C5376,Eduardo da Silva,eduardo61@gmail.com,77,basic,2024-09-19,0
C5377,Lúcia Souza,lucia5@gmail.com,28,free,2025-07-15,1
C5378,Carlos da Silva,carlos76@gmail.com,57,basic,2025-11-03,0
C5379,Lúcia da Silva,lucia10@gmail.com,20,basic,2025-09-23,0
C5380,Marina,marina57@gmail.com,40,premium,2025-11-01,1
C5381,Márcio,marcio@example,24,free,2025-10-08,1
C5382,Guilherme Neto,guilherme39@gmail.com,40,,2025-07-11,1
C5383,Carlos Silva,carlos95@gmail.com,78,free,2025-07-15,0
C5384,Carlos da Silva,carlos81@gmail.com,24,premium,2025-11-01,0
C5385,Fernanda Souza,fernanda96@gmail.com,63,free,2025-04-09,0
C5386,Carlos Souza,carlos47@gmail.com,51,free,2025-09-05,0
C5387,Fernanda da Silva,fernanda4@gmail.com,59,free,2025-10-12,0
C5388,Fernanda,,36,basic,2025-09-23,0
C5389,Daniela,daniela74@gmail.com,75,free,2025-09-02,1
C5390,Lúcia da Silva,lucia37@gmail.com,26,premium,2025-09-12,0
C5391,Eduardo,eduardo16@gmail.com,65,free,2025-09-26,1
C5392,Eduardo,eduardo16@gmail.com,68,premium,,1
C5393,Márcio,marcio99@gmail.com,35,premium,2025-11-07,0
C5394,Ana,ana93@gmail.com,58,basic,2025-06-27,0
C5395,Daniela Neto,daniela7@gmail.com,65,premium,2025-09-15,0
C5396,Marina,marina10@gmail.com,62,premium,2025-11-12,1
C5397,Daniela Souza,daniela99@gmail.com,59,free,2025-07-17,0
C5398,Lúcia da Silva,lucia31@gmail.com,42,premium,2025-03-27,0
C5399,Marina Silva,marina31@gmail.com,69,free,2025-03-05,1
C5400,Fernanda Neto,fernanda54@gmail.com,31,basic,2025-10-14,0
C5401,Márcio,marcio1@gmail.com,61,premium,2025-11-11,0
C5402,Fernanda Souza,fernanda41@gmail.com,42,free,2025-09-20,0
